[2025-03-08 23:00:22] User: D_Avazbek (ID: 847285023), Action: Bo'lim tanlandi, Details: Chichi
[2025-03-08 23:00:33] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 23:04:16] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 23:04:16] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 23:04:19] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 23:04:21] User: D_Avazbek (ID: 847285023), Action: Storys menyusiga kirdi, Details: 
[2025-03-08 23:04:23] User: D_Avazbek (ID: 847285023), Action: Admin: Statistikani so'radi, Details: 
[2025-03-08 23:04:27] User: D_Avazbek (ID: 847285023), Action: Admin: Bo'limlarni boshqarish, Details: 
[2025-03-08 23:04:32] User: D_Avazbek (ID: 847285023), Action: Callback: update_role, Details: 
[2025-03-08 23:04:36] User: D_Avazbek (ID: 847285023), Action: Callback: delete_tutorial, Details: 
[2025-03-08 23:04:38] User: D_Avazbek (ID: 847285023), Action: Callback: confirm_delete, Details: 
[2025-03-08 23:04:38] User: D_Avazbek (ID: 847285023), Action: Admin: Bo'lim o'chirildi, Details: Diggi
[2025-03-08 23:04:41] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 23:20:41] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 23:20:46] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 23:20:48] User: D_Avazbek (ID: 847285023), Action: Rol tanlandi, Details: Fighter
[2025-03-08 23:20:49] User: D_Avazbek (ID: 847285023), Action: Bo'lim tanlandi, Details: Chichi
[2025-03-08 23:20:51] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 23:20:52] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:21:02] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 23:21:04] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 23:21:06] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:21:07] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:21:12] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:21:13] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 23:21:16] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 23:21:17] User: D_Avazbek (ID: 847285023), Action: Admin: Yangi Geroylar tarixi yaratish boshlandi, Details: 
[2025-03-08 23:26:39] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:26:41] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:26:42] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:26:51] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 23:26:53] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 23:26:58] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 23:32:59] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 23:33:01] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:33:03] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:33:07] User: D_Avazbek (ID: 847285023), Action: Bot ishga tushirildi, Details: /start
[2025-03-08 23:33:09] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:33:11] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:33:13] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:33:17] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 23:33:20] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 23:35:51] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:35:53] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 23:35:55] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 23:44:29] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 23:44:31] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 23:44:38] User: D_Avazbek (ID: 847285023), Action: Admin: Yangi bo'lim yaratish boshlandi, Details: 
[2025-03-08 23:44:41] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:44:46] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:44:51] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:44:51] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:44:52] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
[2025-03-08 23:46:15] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 23:46:17] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 23:46:18] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 23:46:20] User: D_Avazbek (ID: 847285023), Action: 'Fighter' rolidagi tutoriallarni ko'rdi, Details: 
[2025-03-08 23:46:21] User: D_Avazbek (ID: 847285023), Action: Bo'lim tanlandi, Details: Chichi
[2025-03-08 23:46:23] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 23:47:21] User: D_Avazbek (ID: 847285023), Action: Storys menyusiga kirdi, Details: 
[2025-03-08 23:47:22] User: D_Avazbek (ID: 847285023), Action: Storys menyusiga kirdi, Details: 
[2025-03-08 23:59:32] User: D_Avazbek (ID: 847285023), Action: Tutorials menyusiga kirdi, Details: 
[2025-03-08 23:59:34] User: D_Avazbek (ID: 847285023), Action: Asosiy menyuga qaytdi, Details: 
[2025-03-08 23:59:37] User: D_Avazbek (ID: 847285023), Action: Geroylar tarixi menyusiga kirdi, Details: 
